ClinicalCode	Description	FrequencyInData
DACA29863NEMIS	Dabigatran Etexilate  Capsules  110 mg	284
DACA51688NEMIS	Dabigatran Etexilate  Capsules  150 mg	10
DACA798	Danazol  Capsules  100 mg	1
DACA799	Danazol  Capsules  200 mg	1
DACA86743NEMIS	Dabrafenib  Capsules  50 mg	2
DESO110021NEMIS	Dexamethasone  Soluble Tablets Sugar Free  2 mg	9
DESO110022NEMIS	Dexamethasone  Soluble Tablets Sugar Free  4 mg	1
DETA6400NEMIS	Depakote  E/c tablets  250 mg	226
DICA8335EGTON	Diflucan  Capsules  150 mg	9
DIE/1994NEMIS	Diclofenac Sodium  E/c tablets  25 mg	28
DIE/1995NEMIS	Diclofenac Sodium  E/c tablets  50 mg	734
DIE/26685EMIS	Diclofenac Sodium  E/C, M/R capsules  75 mg	15
DIM/18533NEMIS	Dipyridamole And Aspirin  M/R capsules  200 mg + 25 mg	360
DIM/20347EMIS	Diamox Sr  M/R capsules  250 mg	54
DIM/22263EMIS	Diltiazem Hydrochloride  M/R capsules  120 mg	79
DIM/22264EMIS	Diltiazem Hydrochloride  M/R capsules  180 mg	74
DIM/22266EMIS	Diltiazem Hydrochloride  M/R capsules  90 mg	38
DIM/22445EMIS	Distaclor Mr  M/R tablets  375 mg	1
DIM/23454EMIS	Diltiazem Hydrochloride  M/R capsules  60 mg	150
DIM/24040EMIS	Dilzem Xl  M/R capsules  120 mg	2
DIM/26683EMIS	Diclofenac Sodium  M/R capsules  75 mg	26
DIM/27367EMIS	Diltiazem Hydrochloride  M/R capsules  240 mg	52
DIM/28229EMIS	Diltiazem Hydrochloride  M/R capsules  200 mg	48
DIM/30235EMIS	Diltiazem Hydrochloride  M/R tablets  60 mg	95
DIM/30709EMIS	Dipyridamole  M/R capsules  200 mg	268
DIM/74131NEMIS	Diagemet Xl  M/R tablets  500 mg	114
DIOR13302NEMIS	Diazepam  Oral solution  2 mg/5 ml	36
DIOR46723NEMIS	Diazepam  Oral solution  10 mg/5 ml	1
DIOR46726NEMIS	Diltiazem Hydrochloride  Oral solution  60 mg/5 ml	1
DIS/9119EMIS	Diltiazem Hydrochloride  M/R tablets  90 mg	28
DISR10514BRIDL	Diltiazem Hydrochloride  M/R tablets  120 mg	3
DISU25796EMIS	Diclofenac Sodium  Suppositories  50 mg	6
DISU883	Diclofenac Sodium  Suppositories  100 mg	1
DITA1026NEMIS	Diclofenac Potassium  Tablets  50 mg	19
DITA10944BRIDL	Ditropan  Tablets  2.5 mg	866
DITA17627NEMIS	Dicycloverine  Tablets  10 mg	150
DITA17857NEMIS	Diethylstilbestrol  Tablets  1 mg	11
DITA23524EMIS	Diphenhydramine Hydrochloride  Tablets  25 mg	2
DITA26777EMIS	Dicloflex  Tablets  25 mg	1
DITA4853	Etidronate Disodium  Tablets  200 mg	6
DITA4859	Disulfiram  Tablets  200 mg	14
DITA871	Diamox  Tablets  250 mg	1
DITA879	Diazepam  Tablets  10 mg	127
DITA880	Diazepam  Tablets  2 mg	1266
DITA881	Diazepam  Tablets  5 mg	2651
DITA929	Dipyridamole  Tablets  100 mg	168
DITA930	Dipyridamole  Tablets  25 mg	15
DITA978NEMIS	Diclofenac And Misoprostol  Tablets  50 mg + 200 micrograms	7
DITA979NEMIS	Diclofenac And Misoprostol  Tablets  75 mg + 200 micrograms	11
DOCA17635NEMIS	Dosulepin  Capsules  25 mg	647
DOTA17636NEMIS	Dosulepin  Tablets  75 mg	931
EDTA103668NEMIS	Edoxaban  Tablets  30 mg	4
EFSO23286NEMIS	Efcortesol  Solution for injection  100 mg/ml, 1 ml ampoule	30
EICA20139NEMIS	Eicosapentaenoic Acid And Docosahexaenoic Acid  Capsules  460 mg + 380 mg	244
ELM/20277EMIS	Elantan La 25  M/R capsules  25 mg	54
ELTA28287EMIS	Elleste-Solo  Tablets  1 mg	1
ELTA28288EMIS	Elleste-Solo  Tablets  2 mg	13
EMTA8949BRIDL	Bisoprolol Fumarate  Tablets  10 mg	2600
EMTA91265NEMIS	Empagliflozin  Tablets  10 mg	291
EMTA91272NEMIS	Empagliflozin  Tablets  25 mg	63
ENIN30042EMIS	Enoxaparin  Injection  100 mg/1 ml pre-filled syringe	20
ENIN30043EMIS	Enoxaparin  Injection  60 mg/0.6 ml pre-filled syringe	1
ENIN30044EMIS	Enoxaparin  Injection  80 mg/0.8 ml pre-filled syringe	3
ENIN3348NEMIS	Enoxaparin  Injection  120 mg/0.8 ml pre-filled syringe	9
ENIN3351NEMIS	Enoxaparin  Injection  150 mg/1 ml pre-filled syringe	4
ENIN9285EMIS	Enoxaparin  Injection  20 mg/0.2 ml pre-filled syringe	3
ENIN9286EMIS	Enoxaparin  Injection  40 mg/0.4 ml pre-filled syringe	9
ENSO39065NEMIS	Enbrel  Solution for injection in pre-filled pen  50 mg	1
ENTA1060	Enalapril Maleate  Tablets  10 mg	132
ENTA1062	Enalapril Maleate  Tablets  20 mg	755
ENTA1063	Enalapril Maleate  Tablets  5 mg	65
ENTA6935	Enalapril Maleate  Tablets  2.5 mg	177
EPBU26047NEMIS	Epistatus  Buccal Liquid Sugar-Free  10 mg/ml	4
EPCA1071	Epanutin  Capsules  100 mg	56
EPCA1072	Epanutin  Capsules  25 mg	10
EPCA19756EMIS	Epanutin  Capsules  300 mg	41
EPM/23960EMIS	Epilim Chrono  M/R tablets  200 mg	103
EPM/23961EMIS	Epilim Chrono  M/R tablets  300 mg	500
EPM/23962EMIS	Epilim Chrono  M/R tablets  500 mg	759
EPTA1090	Epilim  Crushable tablets  100 mg	2
EPTA19048NEMIS	Eplerenone  Tablets  25 mg	818
EPTA19050NEMIS	Eplerenone  Tablets  50 mg	83
EPTA3295NEMIS	Eprosartan  Tablets  400 mg	35
ERCA23393NEMIS	Erdosteine  Capsules  300 mg	52
ERCA23396NEMIS	Erdotin  Capsules  300 mg	1
ERCA3531	Erymax  Capsules (Gastro-Resistant)  250 mg	21
ERCA4890	Erythromycin  Capsules (Gastro-Resistant)  250 mg	46
ERE/2023NEMIS	Erythromycin  E/c tablets  250 mg	181
ERLO981NEMIS	Erythromycin And Zinc Acetate  Lotion  40 mg/ml + 12 mg/ml	2
ERST3539	Erythromycin  Tablets  250 mg	1
ERST3540	Erythromycin  Stearate tablets  500 mg	72
ERST4896	Erythromycin (As Stearate)  Tablets  250 mg	9
ERSU25265EMIS	Erythromycin Ethyl Succinate  Sugar-free suspension  250 mg/5 ml	17
ERSU25267EMIS	Erythromycin Ethyl Succinate  Suspension  250 mg/5 ml	2
ERSU28989EMIS	Erythromycin Ethyl Succinate  Sugar-free suspension  500 mg/5 ml	2
ERTA10453BRIDL	Erythromycin Ethyl Succinate  Tablets  500 mg	9
ERTA24306NEMIS	Ergocalciferol  Tablets  1.25 mg	2
ERTA3533	Erythrocin  Tablets  250 mg	5
ERTA3534	Erythrocin  Tablets  500 mg	5
ERTA3543	Erythroped A  Tablets  500 mg	3
ESGA45517NEMIS	Esomeprazole  Gastro-resistant Capsules  20 mg	101
ESGA45518NEMIS	Esomeprazole  Gastro-resistant Capsules  40 mg	77
ESTA13085NEMIS	Escitalopram  Tablets  10 mg	5
ESTA15859NEMIS	Escitalopram  Tablets  20 mg	20
ESTA16904NEMIS	Escitalopram  Tablets  5 mg	25
ESTA18932NEMIS	Estradiol Valerate And Norethisterone  Tablets  2 mg + 700 micrograms	10
ESTA5124NEMIS	Esomeprazole  Gastro-resistant Tablets  20 mg	10
ESTA5126NEMIS	Esomeprazole  Gastro-resistant Tablets  40 mg	40
ETCA10348BRIDL	Etodolac  Capsules  300 mg	5
ETCA4905	Ethosuximide  Capsules  250 mg	6
ETPO29333NEMIS	Etoposide  Powder For Solution For Injection  100 mg vial	1
ETSU1036NEMIS	Etonogestrel  Subdermal implant  68 mg	1
ETSY4906	Ethosuximide  Oral solution  250 mg/5 ml	6
ETTA12809NEMIS	Etoricoxib  Tablets  60 mg	31
ETTA12810NEMIS	Etoricoxib  Tablets  90 mg	4
ETTA28966NEMIS	Etoricoxib  Tablets  30 mg	1
EVCH83105NEMIS	Evacal D3  Chewable tablets  1500 mg + 400 units	172
EXTA23856NEMIS	Exforge  Tablets  5 mg/160 mg	46
EXTA2781NEMIS	Exemestane  Tablets  25 mg	57
EYSO78088NEMIS	Eylea  Solution for injection  2 mg/50 microlitre vial	1
EZTA15249NEMIS	Ezetimibe  Tablets  10 mg	1716
EZTA15252NEMIS	Ezetrol  Tablets  10 mg	1
EZTA20280NEMIS	Ezetimibe And Simvastatin  Tablets  10 mg + 20 mg	21
FECA1148	Feldene  Capsules  10 mg	3
FEM/13659NEMIS	Fenactol Retard  M/R tablets  100 mg	4
FETA13655NEMIS	Fenactol  Gastro-resistant Tablets  50 mg	75
FLCA10829BRIDL	Fluoxetine Hydrochloride  Capsules  20 mg	2962
FLCA115553NEMIS	Fluoxetine Hydrochloride  Capsules  10 mg	13
FLCA116749NEMIS	Fluoxetine Hydrochloride  Capsules  30 mg	15
FLCA116750NEMIS	Fluoxetine Hydrochloride  Capsules  40 mg	12
FLOR13431NEMIS	Fluoxetine Hydrochloride  Oral solution  20 mg/5 ml	65
FLOR44068NEMIS	Fluoxetine Hydrochloride  Oral Solution, Sugar Free  20 mg/5 ml	114
FLTA17661NEMIS	Flupentixol  Tablets  1 mg	1
GACA23645EMIS	Gabapentin  Capsules  100 mg	1913
GACA23646EMIS	Gabapentin  Capsules  300 mg	3352
GACA23647EMIS	Gabapentin  Capsules  400 mg	820
GAOR13764NEMIS	Gabapentin  Oral solution  250 mg/5 ml	26
GATA4733NEMIS	Gabapentin  Tablets  600 mg	854
GATA4734NEMIS	Gabapentin  Tablets  800 mg	23
HAIN1341	Haloperidol  Injection  100 mg/ml, 1 ml ampoule	1
HAIN15566NEMIS	Haloperidol  Injection  5 mg/ml, 1 ml ampoule	9
HATA1344	Haloperidol  Tablets  1.5 mg	7
HATA1347	Haloperidol  Tablets  5 mg	1
IBM/18882EMIS	Ibuprofen  M/R tablets  800 mg	46
IBSU13346NEMIS	Ibuprofen  Suspension  100 mg/5 ml	3
IBSU34992EMIS	Ibuprofen  Sugar-free suspension  100 mg/5 ml	8
IBTA1429	Ibuprofen  Tablets  200 mg	288
IBTA1430	Ibuprofen  Tablets  400 mg	702
IBTA1431	Ibuprofen  Tablets  600 mg	31
IMTA1443	Imipramine  Tablets  25 mg	156
IMTA5022	Imipramine Hydrochloride  Tablets  10 mg	136
INCA17688NEMIS	Indometacin  Capsules  25 mg	6
INCA17689NEMIS	Indometacin  Capsules  50 mg	55
INM/17695NEMIS	Indometacin  M/R capsules  75 mg	2
KECA8763BRIDL	Ketoprofen  M/R capsules  200 mg	9
KETA19080NEMIS	Keppra  Tablets  750 mg	1
KETA5618NEMIS	Keppra  Tablets  250 mg	26
KETA5619NEMIS	Keppra  Tablets  500 mg	15
LADI24495EMIS	Lamotrigine  Dispersible tablets  Sugar Free 100 mg	14
LATA17996EMIS	Lamotrigine  Tablets  100 mg	331
LATA17997EMIS	Lamotrigine  Tablets  50 mg	465
LATA22481EMIS	Lamotrigine  Tablets  25 mg	206
LATA27770EMIS	Lamotrigine  Tablets  200 mg	547
LATA31252NEMIS	Lacosamide  Tablets  50 mg	7
LATA31254NEMIS	Lacosamide  Tablets  100 mg	10
LATA31256NEMIS	Lacosamide  Tablets  200 mg	19
LEIN17312NEMIS	Levomepromazine  Solution for injection  25 mg/ml, 1 ml ampoule	210
LEOR19079NEMIS	Levetiracetam  Oral Solution, Sugar Free  100 mg/ml	124
LESU78271NEMIS	Levetiracetam  Sugar free granules  1000 mg sachet	9
LESU78272NEMIS	Levetiracetam  Sugar free granules  250 mg sachet	9
LETA17313NEMIS	Levomepromazine  Tablets  25 mg	43
LETA17314NEMIS	Levomepromazine  Tablets  6 mg	11
LETA19078NEMIS	Levetiracetam  Tablets  750 mg	30
LETA5613NEMIS	Levetiracetam  Tablets  250 mg	410
LETA5615NEMIS	Levetiracetam  Tablets  500 mg	203
LETA5616NEMIS	Levetiracetam  Tablets  1000 mg	463
LOTA1684	Lofepramine  Tablets  70 mg	278
LYCA18437NEMIS	Lyrica  Capsules  25 mg	200
LYCA18438NEMIS	Lyrica  Capsules  50 mg	123
LYCA18439NEMIS	Lyrica  Capsules  75 mg	145
LYCA18440NEMIS	Lyrica  Capsules  100 mg	170
LYCA18441NEMIS	Lyrica  Capsules  150 mg	45
LYCA18442NEMIS	Lyrica  Capsules  200 mg	1
LYCA18443NEMIS	Lyrica  Capsules  300 mg	184
MECA1751	Mefenamic Acid  Capsules  250 mg	1
META1753	Mefenamic Acid  Tablets  500 mg	52
META28880EMIS	Meloxicam  Tablets  15 mg	36
META28881EMIS	Meloxicam  Tablets  7.5 mg	27
MIOR16205NEMIS	Mirtazapine  Orodispersible tablets  30 mg	58
MIOR16890NEMIS	Mirtazapine  Orodispersible tablets  15 mg	112
MIOR16891NEMIS	Mirtazapine  Orodispersible tablets  45 mg	122
MITA19793NEMIS	Mirtazapine  Tablets  15 mg	2539
MITA19794NEMIS	Mirtazapine  Tablets  45 mg	2548
MITA31478EMIS	Mirtazapine  Tablets  30 mg	2629
MOCA1869	Molipaxin  Capsules  50 mg	2
MOIN10029BRIDL	Modecate  Injection  50 mg/2 ml ampoule	17
MOSY8788BRIDL	Modecate  Injection  25 mg/1 ml ampoule	2
NAE/9202EMIS	Naproxen  E/c tablets  250 mg	170
NAE/9203EMIS	Naproxen  E/c tablets  500 mg	286
NAE/9389EMIS	Naproxen  E/c tablets  375 mg	3
NATA1938	Naproxen  Tablets  250 mg	265
NATA1939	Naproxen  Tablets  500 mg	521
NEEY36713NEMIS	Nevanac  Eye drops  1 mg/ml	1
NOTA123310NEMIS	Nortriptyline  Tablets  50 mg	25
NOTA5215	Nortriptyline  Tablets  10 mg	432
NOTA6760	Nortriptyline  Tablets  25 mg	179
OFTA23520EMIS	Ofloxacin  Tablets  400 mg	14
OLOR3800NEMIS	Olanzapine  Oral Lyophilisate Sugar Free  5 mg	4
OLOR71531NEMIS	Olanzapine  Orodispersible tablets  10 mg	9
OLOR71532NEMIS	Olanzapine  Orodispersible tablets  15 mg	16
OLTA13258NEMIS	Olanzapine  Tablets  15 mg	125
OLTA15758NEMIS	Olmesartan Medoxomil  Tablets  10 mg	159
OLTA15760NEMIS	Olmesartan Medoxomil  Tablets  20 mg	198
OLTA23534NEMIS	Olanzapine  Tablets  20 mg	486
OLTA29729EMIS	Olanzapine  Tablets  10 mg	789
OLTA29730EMIS	Olanzapine  Tablets  5 mg	206
OLTA29731EMIS	Olanzapine  Tablets  7.5 mg	130
OLTA34085EMIS	Olanzapine  Tablets  2.5 mg	220
OMCA10940BRIDL	Omeprazole  Capsules (Gastro-Resistant)  20 mg	32426
OMCA13300NEMIS	Omacor  Capsules  1000 mg	651
OMCA23822EMIS	Omeprazole  Capsules (Gastro-Resistant)  40 mg	822
OMCA25325EMIS	Omeprazole  Capsules (Gastro-Resistant)  10 mg	1963
OMDI13049NEMIS	Omeprazole  Dispersible (Gastro-Resistant) Tablets  10 mg	9
OMDI13050NEMIS	Omeprazole  Dispersible (Gastro-Resistant) Tablets  20 mg	105
OMDI13051NEMIS	Omeprazole  Dispersible (Gastro-Resistant) Tablets  40 mg	11
OMTA1187NEMIS	Omeprazole  Tablets (Gastro-Resistant)  20 mg	469
OMTA1188NEMIS	Omeprazole  Tablets (Gastro-Resistant)  40 mg	38
ONOR44686NEMIS	Ondansetron  Orodispersible tablets  8 mg	1
ONOR82335NEMIS	Ondansetron  Orodispersible Films (Sugar Free)  4 mg	1
ONSU30358EMIS	Ondansetron Hydrochloride  Oral Solution, Sugar Free  4 mg/5 ml	2
ONTA9770HILLI	Ondansetron Hydrochloride  Tablets  4 mg	31
ONTA9771HILLI	Ondansetron Hydrochloride  Tablets  8 mg	16
ORCA34117EMIS	Orlistat  Capsules  120 mg	175
ORCA48100NEMIS	Orlistat  Capsules  60 mg	67
OSCA14664NEMIS	Oseltamivir  Capsules  75 mg	2
OSCA29014NEMIS	Oseltamivir  Capsules  30 mg	2
OVCR2125	Ovestin  Cream  1 mg	38
OXCA10581BRIDL	Oxerutins  Capsules  250 mg	3
OXCA11081NEMIS	Oxactin  Capsules  20 mg	14
OXM/4776NEMIS	Oxybutynin Hydrochloride  M/R tablets  5 mg	137
OXM/4777NEMIS	Oxybutynin Hydrochloride  M/R tablets  10 mg	253
OXTA19601EMIS	Oxybutynin Hydrochloride  Tablets  3 mg	238
OXTA2131	Oxazepam  Tablets  10 mg	75
OXTA2140	Oxprenolol Hydrochloride  Sr tablets  160 mg	14
OXTA2146	Oxytetracycline  Tablets  250 mg	122
OXTA8594BRID	Ditropan  Tablets  5 mg	235
OXTA9033EMIS	Oxybutynin Hydrochloride  Tablets  2.5 mg	148
OXTA9034EMIS	Oxybutynin Hydrochloride  Tablets  5 mg	429
OXTR20079NEMIS	Oxybutynin Hydrochloride  Transdermal patches  3.9 mg/24 hours	4
PATA24526NEMIS	Paroxetine Hydrochloride  Tablets  10 mg	425
PATA8972EMIS	Paroxetine Hydrochloride  Tablets  20 mg	715
PATA8973EMIS	Paroxetine Hydrochloride  Tablets  30 mg	143
PETA7008	Pericyazine  Tablets  2.5 mg	26
PETA76721NEMIS	Perampanel  Tablets  2 mg	1
PETA76723NEMIS	Perampanel  Tablets  4 mg	1
PETA76724NEMIS	Perampanel  Tablets  6 mg	5
PETA76725NEMIS	Perampanel  Tablets  8 mg	2
PHCA19758EMIS	Phenytoin Sodium  Capsules  300 mg	92
PHCA2241	Phenytoin Sodium  Capsules  100 mg	241
PHCA2242	Phenytoin Sodium  Capsules  25 mg	54
PHCA2243	Phenytoin Sodium  Capsules  50 mg	7
PHTA17818NEMIS	Phenobarbital  Tablets  30 mg	419
PHTA17819NEMIS	Phenobarbital  Tablets  60 mg	14
PHTA2226	Phenelzine  Tablets  15 mg	30
PHTA5282	Phenytoin Sodium  Tablets  100 mg	42
PICA2280	Piroxicam  Capsules  20 mg	1
PIME22465EMIS	Piroxicam  Orodispersible tablets  20 mg	1
PITA23834EMIS	Piracetam  Tablets  800 mg	6
POTA2309	Ponstan  Tablets forte  500 mg	1
PRCA18428NEMIS	Pregabalin  Capsules  25 mg	532
PRCA18430NEMIS	Pregabalin  Capsules  50 mg	334
PRCA18431NEMIS	Pregabalin  Capsules  75 mg	792
PRCA18432NEMIS	Pregabalin  Capsules  100 mg	456
PRCA18433NEMIS	Pregabalin  Capsules  150 mg	462
PRCA18434NEMIS	Pregabalin  Capsules  200 mg	233
PRCA18435NEMIS	Pregabalin  Capsules  300 mg	768
PRCA2401	Prothiaden  Capsules  25 mg	1
PROR11626NEMIS	Promazine Hydrochloride  Oral solution  50 mg/5 ml	183
PROR74091NEMIS	Pregabalin  Oral Solution, Sugar Free  20 mg/ml	2
PRSY12797NEMIS	Promazine Hydrochloride  Syrup  50 mg/5 ml	1
PRSY29334EMIS	Promazine Hydrochloride  Oral solution  25 mg/5 ml	495
PRTA2377	Promazine Hydrochloride  Tablets  25 mg	96
PRTA2378	Promazine Hydrochloride  Tablets  50 mg	85
PRTA47630NEMIS	Primidone  Tablets  50 mg	26
PRTA5332	Primidone  Tablets  250 mg	59
QUM/31062NEMIS	Quetiapine Fumarate  M/R tablets  300 mg	6
QUM/31063NEMIS	Quetiapine Fumarate  M/R tablets  400 mg	9
QUTA31563EMIS	Quetiapine Fumarate  Tablets  100 mg	325
QUTA31564EMIS	Quetiapine Fumarate  Tablets  200 mg	26
QUTA31565EMIS	Quetiapine Fumarate  Tablets  25 mg	147
QUTA959NEMIS	Quetiapine Fumarate  Tablets  150 mg	39
RECA100514NEMIS	Rewisca  Capsules  50 mg	1
RILI28308EMIS	Risperdal  Oral solution  1 mg/1 ml	1
RILI28310EMIS	Risperidone  Oral Solution, Sugar Free  1 mg/1 ml	1
RIOP1539NEMIS	Rimexolone  Eye drops  10 mg/ml	1
RITA23782EMIS	Risperdal  Tablets  1 mg	440
RITA23783EMIS	Risperdal  Tablets  2 mg	257
RITA23790EMIS	Risperidone  Tablets  1 mg	191
RITA23791EMIS	Risperidone  Tablets  2 mg	48
RITA23792EMIS	Risperidone  Tablets  3 mg	103
RITA23793EMIS	Risperidone  Tablets  4 mg	450
RITA31681EMIS	Risperidone  Tablets  6 mg	113
SETA8968EMIS	Seroxat  Tablets  20 mg	57
SETA9308EMIS	Sertraline Hydrochloride  Tablets  100 mg	3189
SETA9309EMIS	Sertraline Hydrochloride  Tablets  50 mg	3790
SOLI2627	Sodium Valproate  Sugar-free liquid  200 mg/5 ml	8
SOM/23967EMIS	Sodium Valproate  M/R tablets  300 mg	450
SOM/23968EMIS	Sodium Valproate  M/R tablets  500 mg	118
SOM/25449NEMIS	Sodium Valproate  M/R capsules  300 mg	2
SOTA2629	Sodium Valproate  Crushable tablets  100 mg	32
SOTA2630	Sodium Valproate  E/c tablets  200 mg	76
SOTA2631	Sodium Valproate  E/c tablets  500 mg	7
BASH2713NEMIS	Bard Urisac  Short tube leg bags  350ml, 7661	1
STSY2686	Stelazine  Syrup  1 mg/5 ml	1
SUCA2748	Surmontil  Capsules  50 mg	41
SUTA2733	Sulpiride  Tablets  200 mg	60
TESY2787	Tegretol  Sugar-free liquid  100 mg/5 ml	9
TETA20599EMIS	Tenoxicam  Tablets  20 mg	88
TETA2788	Tegretol  Tablets  100 mg	278
TETA2789	Tegretol  Tablets  200 mg	50
TETA9540BRIDL	Tegretol Prolonged Release  M/R tablets  200 mg	22
TETA9542BRIDL	Tegretol Prolonged Release  M/R tablets  400 mg	7
TOCA18895NEMIS	Topiramate  Capsules  15 mg	6
TOCA18896NEMIS	Topiramate  Capsules  25 mg	14
TOCA18897NEMIS	Topiramate  Capsules  50 mg	131
TOEY10807NEMIS	Tobradex  Eye drops  3 mg/ml + 1 mg/ml	131
TOTA30046EMIS	Topamax  Tablets  25 mg	2
TOTA30051EMIS	Topiramate  Tablets  100 mg	98
TOTA30052EMIS	Topiramate  Tablets  200 mg	40
TOTA30053EMIS	Topiramate  Tablets  25 mg	14
TOTA30054EMIS	Topiramate  Tablets  50 mg	45
TRCA2900	Trazodone Hydrochloride  Capsules  50 mg	694
TRCA2940	Trimipramine  Capsules  50 mg	79
